hub_code,schedule,job_category,riders,rider_yesterday,rider_lastweek,rider_2week,rider_3week,rider_4week,rider_lastyear,rider_52week,volume_last7day,volume_last3day,volume_last14day,volume_last21day,volume_last28day,quarter,day_of_week,is_weekend,month,day,is_holiday,is_after_sale
MAKATI,2019-12-20,Delivery,49,49,47,49,38,40,34,38,3623.1428571428573,4218.333333333333,3168.7857142857142,2838.1904761904761,2673.75,Q4,friday,weekday,12,20,not_holiday,not_after_sale
MAKATI,2019-12-19,Delivery,49,55,47,53,45,43,39,34,3630.4285714285716,4616.666666666667,3154.5714285714284,2798.1428571428573,2656.2857142857142,Q4,thursday,weekday,12,19,not_holiday,not_after_sale
MAKATI,2019-12-18,Delivery,55,64,45,37,46,42,40,39,3461.4285714285716,3888.3333333333335,3044.5,2723.2380952380954,2605.6428571428573,Q4,wednesday,weekday,12,18,not_holiday,not_after_sale
MAKATI,2019-12-17,Delivery,64,60,50,31,43,49,37,40,3181.1428571428573,3092.3333333333335,2812.2857142857142,2595.7619047619046,2545.1428571428573,Q4,tuesday,weekday,12,17,not_holiday,5day_after_sale
MAKATI,2019-12-16,Delivery,60,33,45,39,45,47,18,37,3024.8571428571427,2717.3333333333335,2690.7142857142858,2523.8095238095239,2539.1428571428573,Q4,monday,weekday,12,16,not_holiday,4day_after_sale
MAKATI,2019-12-15,Delivery,33,37,26,22,18,23,22,18,2957.2857142857142,3166.6666666666665,2617.2142857142858,2466.0952380952381,2525.7142857142858,Q4,sunday,weekend,12,15,not_holiday,3day_after_sale
MAKATI,2019-12-14,Delivery,37,47,31,26,26,36,37,22,2787.0,3302.0,2528.6428571428573,2407.1904761904761,2534.6785714285716,Q4,saturday,weekend,12,14,not_holiday,2day_after_sale
MAKATI,2019-12-13,Delivery,47,47,49,38,40,53,37,37,2714.4285714285716,3187.0,2445.7142857142858,2357.2857142857142,2576.6428571428573,Q4,friday,weekday,12,13,not_holiday,1day_after_sale
MAKATI,2019-12-12,Delivery,47,45,53,45,43,63,37,37,2678.7142857142858,3203.6666666666665,2382.0,2331.5714285714284,2640.5714285714284,Q4,thursday,weekday,12,12,not_holiday,not_after_sale
MAKATI,2019-12-11,Delivery,45,50,37,46,42,56,37,37,2627.5714285714284,2712.0,2354.1428571428573,2320.3809523809523,2689.3571428571427,Q4,wednesday,weekday,12,11,not_holiday,not_after_sale
MAKATI,2019-12-10,Delivery,50,45,31,43,49,50,38,37,2443.4285714285716,2172.6666666666665,2303.0714285714284,2333.1428571428573,2691.4642857142858,Q4,tuesday,weekday,12,10,not_holiday,not_after_sale
MAKATI,2019-12-09,Delivery,45,26,39,45,47,50,15,38,2356.5714285714284,1993.0,2273.2857142857142,2377.2380952380954,2706.4285714285716,Q4,monday,weekday,12,9,not_holiday,not_after_sale
MAKATI,2019-12-08,Delivery,26,31,22,18,23,23,20,15,2277.1428571428573,2516.6666666666665,2220.5,2381.8571428571427,2694.1428571428573,Q4,sunday,weekend,12,8,holiday,not_after_sale
MAKATI,2019-12-07,Delivery,31,49,26,26,36,34,37,20,2270.2857142857142,2930.0,2217.2857142857142,2450.5714285714284,2717.0714285714284,Q4,saturday,weekend,12,7,not_holiday,not_after_sale
MAKATI,2019-12-06,Delivery,49,53,38,40,53,47,36,37,2177.0,2554.6666666666665,2178.7142857142858,2530.7142857142858,2723.7142857142858,Q4,friday,weekday,12,6,not_holiday,not_after_sale
MAKATI,2019-12-05,Delivery,53,37,45,43,63,40,37,36,2085.2857142857142,2452.0,2158.0,2627.8571428571427,2705.1428571428573,Q4,thursday,weekday,12,5,not_holiday,not_after_sale
MAKATI,2019-12-04,Delivery,37,31,46,42,56,48,41,37,2080.7142857142858,1894.3333333333333,2166.7857142857142,2709.9523809523807,2735.1785714285716,Q4,wednesday,weekday,12,4,not_holiday,not_after_sale
MAKATI,2019-12-03,Delivery,31,39,43,49,50,49,39,41,2162.7142857142858,1768.6666666666667,2278.0,2774.1428571428573,2810.1071428571427,Q4,tuesday,weekday,12,3,not_holiday,not_after_sale
MAKATI,2019-12-02,Delivery,39,22,45,47,50,48,19,39,2190.0,1574.0,2387.5714285714284,2823.0476190476193,2845.7142857142858,Q4,monday,weekday,12,2,not_holiday,not_after_sale
MAKATI,2019-12-01,Delivery,22,26,18,23,23,13,22,19,2163.8571428571427,2069.0,2434.2142857142858,2833.1428571428573,2831.1071428571427,Q4,sunday,weekend,12,1,not_holiday,not_after_sale
MAKATI,2019-11-30,Delivery,26,38,26,36,34,0,23,22,2164.2857142857142,2487.6666666666665,2540.7142857142858,2866.0,2780.4285714285716,Q4,saturday,weekend,11,30,holiday,not_after_sale
MAKATI,2019-11-29,Delivery,38,45,40,53,47,0,34,23,2180.4285714285716,2521.3333333333335,2707.5714285714284,2905.9523809523807,2699.3928571428573,Q4,friday,weekday,11,29,not_holiday,not_after_sale
MAKATI,2019-11-28,Delivery,45,46,43,63,40,36,37,34,2230.7142857142858,2696.3333333333335,2899.1428571428573,2911.7619047619046,2684.9642857142858,Q4,thursday,weekday,11,28,not_holiday,not_after_sale
MAKATI,2019-11-27,Delivery,46,43,42,56,48,42,37,37,2252.8571428571427,2088.3333333333335,3024.5714285714284,2953.3333333333335,2677.5714285714284,Q4,wednesday,weekday,11,27,not_holiday,not_after_sale
MAKATI,2019-11-26,Delivery,43,45,49,50,49,47,35,37,2393.2857142857142,1772.3333333333333,3079.8571428571427,3025.9047619047619,2680.6785714285716,Q4,tuesday,weekday,11,26,not_holiday,not_after_sale
MAKATI,2019-11-25,Delivery,45,18,47,50,48,48,21,35,2585.1428571428573,1551.6666666666667,3139.5714285714284,3064.2857142857142,2681.5714285714284,Q4,monday,weekday,11,25,not_holiday,not_after_sale
MAKATI,2019-11-24,Delivery,18,26,23,23,13,18,21,21,2704.5714285714284,2225.0,3167.7857142857142,3053.5238095238096,2678.6428571428573,Q4,sunday,weekend,11,24,not_holiday,not_after_sale
MAKATI,2019-11-23,Delivery,26,40,36,34,0,28,40,21,2917.1428571428573,2694.3333333333335,3216.8571428571427,2985.8095238095239,2680.5,Q4,saturday,weekend,11,23,not_holiday,not_after_sale
MAKATI,2019-11-22,Delivery,40,43,53,47,0,38,35,40,3234.7142857142858,3018.0,3268.7142857142858,2872.3809523809523,2664.6785714285716,Q4,friday,weekday,11,22,not_holiday,not_after_sale
MAKATI,2019-11-21,Delivery,43,42,63,40,36,45,40,35,3567.5714285714284,3523.3333333333335,3252.2857142857142,2836.3809523809523,2656.6071428571427,Q4,thursday,weekday,11,21,not_holiday,not_after_sale
MAKATI,2019-11-20,Delivery,42,49,56,48,42,40,45,40,3796.2857142857142,3142.3333333333335,3303.5714285714284,2819.1428571428573,2644.0,Q4,wednesday,weekday,11,20,not_holiday,not_after_sale
MAKATI,2019-11-19,Delivery,49,47,50,49,47,47,36,45,3766.4285714285716,2994.6666666666665,3342.2142857142858,2776.4761904761904,2622.9642857142858,Q4,tuesday,weekday,11,19,not_holiday,not_after_sale
MAKATI,2019-11-18,Delivery,47,23,50,48,48,49,21,36,3694.0,3067.3333333333335,3303.8571428571427,2713.7142857142858,2592.0714285714284,Q4,monday,weekday,11,18,not_holiday,not_after_sale
MAKATI,2019-11-17,Delivery,23,36,23,13,18,13,26,21,3631.0,4238.666666666667,3228.0,2670.0,2558.5357142857142,Q4,sunday,weekend,11,17,not_holiday,not_after_sale
MAKATI,2019-11-16,Delivery,36,53,34,0,28,33,38,26,3516.5714285714284,4745.666666666667,3020.1428571428573,2601.6190476190477,2515.2142857142858,Q4,saturday,weekend,11,16,not_holiday,5day_after_sale
MAKATI,2019-11-15,Delivery,53,63,47,0,38,48,35,38,3302.7142857142858,4258.666666666667,2691.2142857142858,2474.6666666666665,2449.4642857142858,Q4,friday,weekday,11,15,not_holiday,4day_after_sale
MAKATI,2019-11-14,Delivery,63,56,40,36,45,49,40,35,2937.0,3818.3333333333335,2470.7857142857142,2352.9523809523807,2371.9285714285716,Q4,thursday,weekday,11,14,not_holiday,3day_after_sale
MAKATI,2019-11-13,Delivery,56,50,48,42,40,51,38,40,2810.8571428571427,2756.6666666666665,2330.5714285714284,2259.9047619047619,2328.7857142857142,Q4,wednesday,weekday,11,13,not_holiday,2day_after_sale
MAKATI,2019-11-12,Delivery,50,50,49,47,47,51,39,38,2918.0,2411.6666666666665,2281.5,2241.8095238095239,2346.2142857142858,Q4,tuesday,weekday,11,12,not_holiday,1day_after_sale
MAKATI,2019-11-11,Delivery,50,23,48,48,49,51,24,39,2913.7142857142858,2154.3333333333335,2223.5714285714284,2224.7619047619046,2362.3928571428573,Q4,monday,weekday,11,11,not_holiday,not_after_sale
MAKATI,2019-11-10,Delivery,23,34,13,18,13,28,27,24,2825.0,2619.3333333333335,2189.5,2201.0476190476193,2395.0,Q4,sunday,weekend,11,10,not_holiday,not_after_sale
MAKATI,2019-11-09,Delivery,34,47,0,28,33,34,35,27,2523.7142857142858,3099.0,2144.1428571428573,2181.4285714285716,2412.25,Q4,saturday,weekend,11,9,not_holiday,not_after_sale
MAKATI,2019-11-08,Delivery,47,40,0,38,48,43,36,35,2079.7142857142858,3361.0,2060.6428571428573,2165.0476190476193,2380.3214285714284,Q4,friday,weekday,11,8,not_holiday,not_after_sale
MAKATI,2019-11-07,Delivery,40,48,36,45,49,45,37,36,2004.5714285714287,3764.0,2060.9285714285716,2183.5714285714284,2371.0714285714284,Q4,thursday,weekday,11,7,not_holiday,not_after_sale
MAKATI,2019-11-06,Delivery,48,49,42,40,51,46,38,37,1850.2857142857142,2789.6666666666665,1984.4285714285713,2168.0952380952381,2344.3214285714284,Q4,wednesday,weekday,11,6,not_holiday,not_after_sale
MAKATI,2019-11-05,Delivery,49,48,47,47,51,46,43,38,1645.0,1491.6666666666667,1903.7142857142858,2155.6190476190477,2294.7857142857142,Q4,tuesday,weekday,11,5,not_holiday,not_after_sale
MAKATI,2019-11-04,Delivery,48,13,48,49,51,50,24,43,1533.4285714285713,208.33333333333334,1880.2857142857142,2178.6190476190477,2281.4285714285716,Q4,monday,weekday,11,4,not_holiday,not_after_sale
MAKATI,2019-11-03,Delivery,13,0,18,13,28,16,25,24,1554.0,705.0,1889.0714285714287,2251.6666666666665,2289.8571428571427,Q4,sunday,weekend,11,3,not_holiday,not_after_sale
MAKATI,2019-11-02,Delivery,0,0,28,33,34,33,15,25,1764.5714285714287,1527.6666666666667,2010.2857142857142,2375.0952380952381,2352.1785714285716,Q4,saturday,weekend,11,2,holiday,not_after_sale
MAKATI,2019-11-01,Delivery,0,36,38,48,43,44,24,15,2041.5714285714287,2346.6666666666665,2207.7142857142858,2480.5238095238096,2439.3571428571427,Q4,friday,weekday,11,1,holiday,not_after_sale
MAKATI,2019-10-31,Delivery,36,42,45,49,45,44,31,24,2117.2857142857142,2664.6666666666665,2273.0714285714284,2493.2380952380954,2463.5357142857142,Q4,thursday,weekday,10,31,not_holiday,not_after_sale
MAKATI,2019-10-30,Delivery,42,47,40,51,46,47,37,31,2118.5714285714284,2098.3333333333335,2327.0,2509.0,2480.3928571428573,Q4,wednesday,weekday,10,30,not_holiday,not_after_sale
MAKATI,2019-10-29,Delivery,47,48,47,51,46,44,39,37,2162.4285714285716,1770.6666666666667,2410.9285714285716,2511.3809523809523,2500.3928571428573,Q4,tuesday,weekday,10,29,not_holiday,not_after_sale
MAKATI,2019-10-28,Delivery,48,18,49,51,50,40,22,39,2227.1428571428573,1394.0,2501.2142857142858,2530.7619047619046,2486.6428571428573,Q4,monday,weekday,10,28,not_holiday,not_after_sale
MAKATI,2019-10-27,Delivery,18,28,13,28,16,18,25,22,2224.1428571428573,2019.3333333333333,2600.5,2535.1428571428573,2488.1071428571427,Q4,sunday,weekend,10,27,not_holiday,not_after_sale
MAKATI,2019-10-26,Delivery,28,38,33,34,33,29,33,25,2256.0,2353.6666666666665,2680.3571428571427,2548.0476190476193,2485.9642857142858,Q4,saturday,weekend,10,26,not_holiday,not_after_sale
MAKATI,2019-10-25,Delivery,38,45,48,43,44,45,36,33,2373.8571428571427,2628.6666666666665,2700.0,2571.9523809523807,2506.3928571428573,Q4,friday,weekday,10,25,not_holiday,not_after_sale
MAKATI,2019-10-24,Delivery,45,40,49,45,44,48,34,36,2428.8571428571427,2921.0,2681.2142857142858,2578.9523809523807,2515.7142857142858,Q4,thursday,weekday,10,24,not_holiday,not_after_sale
MAKATI,2019-10-23,Delivery,40,47,51,46,47,44,36,34,2535.4285714285716,2344.6666666666665,2704.2142857142858,2601.0,2528.6428571428573,Q4,wednesday,weekday,10,23,not_holiday,not_after_sale
MAKATI,2019-10-22,Delivery,47,49,51,46,44,46,35,36,2659.4285714285716,1989.0,2685.8571428571427,2613.0476190476193,2544.6428571428573,Q4,tuesday,weekday,10,22,not_holiday,not_after_sale
MAKATI,2019-10-21,Delivery,49,13,51,50,40,47,24,35,2775.2857142857142,1736.3333333333333,2682.5714285714284,2573.1428571428573,2538.3928571428573,Q4,monday,weekday,10,21,not_holiday,not_after_sale
MAKATI,2019-10-20,Delivery,13,33,28,16,18,14,30,24,2976.8571428571427,2497.0,2690.6428571428573,2576.0952380952381,2537.1071428571427,Q4,sunday,weekend,10,20,not_holiday,not_after_sale
MAKATI,2019-10-19,Delivery,33,48,34,33,29,25,33,30,3104.7142857142858,3005.6666666666665,2694.0714285714284,2562.6190476190477,2533.8214285714284,Q4,saturday,weekend,10,19,not_holiday,not_after_sale
MAKATI,2019-10-18,Delivery,48,49,43,44,45,46,32,33,3026.1428571428573,3295.0,2671.0,2550.5714285714284,2546.7142857142858,Q4,friday,weekday,10,18,not_holiday,not_after_sale
MAKATI,2019-10-17,Delivery,49,51,45,44,48,47,35,32,2933.5714285714284,3729.3333333333335,2654.0,2544.6666666666665,2554.7142857142858,Q4,thursday,weekday,10,17,not_holiday,not_after_sale
MAKATI,2019-10-16,Delivery,51,51,46,47,44,49,31,35,2873.0,3374.6666666666665,2633.7857142857142,2526.3809523809523,2566.3214285714284,Q4,wednesday,weekday,10,16,not_holiday,not_after_sale
MAKATI,2019-10-15,Delivery,51,51,46,44,46,49,35,31,2712.2857142857142,3028.0,2589.8571428571427,2506.3809523809523,2569.1071428571427,Q4,tuesday,weekday,10,15,not_holiday,5day_after_sale
MAKATI,2019-10-14,Delivery,51,28,50,40,47,30,26,35,2589.8571428571427,2321.6666666666665,2472.0714285714284,2459.4285714285716,2531.5,Q4,monday,weekday,10,14,not_holiday,4day_after_sale
MAKATI,2019-10-13,Delivery,28,34,16,18,14,21,24,26,2404.4285714285716,2396.0,2375.7142857142858,2390.5238095238096,2499.8928571428573,Q4,sunday,weekend,10,13,not_holiday,3day_after_sale
MAKATI,2019-10-12,Delivery,34,43,33,29,25,35,32,24,2283.4285714285716,2465.0,2291.5714285714284,2343.5238095238096,2493.6785714285716,Q4,saturday,weekend,10,12,not_holiday,2day_after_sale
MAKATI,2019-10-11,Delivery,43,45,44,45,46,46,30,32,2315.8571428571427,2562.6666666666665,2312.7857142857142,2386.9047619047619,2542.6428571428573,Q4,friday,weekday,10,11,not_holiday,1day_after_sale
MAKATI,2019-10-10,Delivery,45,46,44,48,47,51,32,30,2374.4285714285716,2927.3333333333335,2350.2142857142858,2428.4285714285716,2548.8928571428573,Q4,thursday,weekday,10,10,not_holiday,not_after_sale
MAKATI,2019-10-09,Delivery,46,46,47,44,49,53,33,32,2394.5714285714284,2281.3333333333335,2353.0714285714284,2464.0952380952381,2590.8571428571427,Q4,wednesday,weekday,10,9,not_holiday,not_after_sale
MAKATI,2019-10-08,Delivery,46,50,44,46,49,45,36,33,2467.4285714285716,2027.3333333333333,2403.4285714285716,2521.3809523809523,2605.1428571428573,Q4,tuesday,weekday,10,8,not_holiday,not_after_sale
MAKATI,2019-10-07,Delivery,50,16,40,47,30,47,22,36,2354.2857142857142,1682.3333333333333,2394.2142857142858,2512.0476190476193,2600.0,Q4,monday,weekday,10,7,not_holiday,not_after_sale
MAKATI,2019-10-06,Delivery,16,33,18,14,21,16,25,22,2347.0,2326.0,2383.5714285714284,2531.7142857142858,2595.6785714285716,Q4,sunday,weekend,10,6,not_holiday,not_after_sale
MAKATI,2019-10-05,Delivery,33,44,29,25,35,36,33,25,2299.7142857142858,2724.3333333333335,2373.5714285714284,2563.7619047619046,2604.2142857142858,Q4,saturday,weekend,10,5,not_holiday,not_after_sale
MAKATI,2019-10-04,Delivery,44,44,45,46,46,49,35,33,2309.7142857142858,2916.3333333333335,2422.4285714285716,2618.2380952380954,2628.7857142857142,Q4,friday,weekday,10,4,not_holiday,not_after_sale
MAKATI,2019-10-03,Delivery,44,47,48,47,51,54,30,35,2326.0,2880.3333333333335,2455.4285714285716,2607.0476190476193,2687.7142857142858,Q4,thursday,weekday,10,3,not_holiday,not_after_sale
MAKATI,2019-10-02,Delivery,47,44,44,49,53,0,33,30,2311.5714285714284,2170.3333333333335,2498.8571428571427,2656.2857142857142,2582.7142857142858,Q4,wednesday,weekday,10,2,not_holiday,not_after_sale
MAKATI,2019-10-01,Delivery,44,40,46,49,45,45,37,33,2339.4285714285716,1636.0,2548.3571428571427,2651.0476190476193,2613.1785714285716,Q4,tuesday,weekday,10,1,not_holiday,not_after_sale
MAKATI,2019-09-30,Delivery,40,18,47,30,47,52,21,37,2434.1428571428573,1578.3333333333333,2590.9285714285716,2681.9047619047619,2653.25,Q3,monday,weekday,9,30,not_holiday,not_after_sale
MAKATI,2019-09-29,Delivery,18,29,14,21,16,20,22,21,2420.1428571428573,2277.0,2624.0714285714284,2678.5714285714284,2665.5714285714284,Q3,sunday,weekend,9,29,not_holiday,not_after_sale
MAKATI,2019-09-28,Delivery,29,45,25,35,36,30,35,22,2447.4285714285716,2752.0,2695.7857142857142,2705.7142857142858,2691.4285714285716,Q3,saturday,weekend,9,28,not_holiday,not_after_sale
MAKATI,2019-09-27,Delivery,45,48,46,46,49,49,34,35,2535.1428571428573,2985.6666666666665,2772.5,2735.1428571428573,2733.1785714285716,Q3,friday,weekday,9,27,not_holiday,not_after_sale
MAKATI,2019-09-26,Delivery,48,44,47,51,54,47,36,34,2584.8571428571427,3132.6666666666665,2747.5714285714284,2808.2857142857142,2767.3214285714284,Q3,thursday,weekday,9,26,not_holiday,not_after_sale
MAKATI,2019-09-25,Delivery,44,46,49,53,0,47,34,36,2686.1428571428573,2423.6666666666665,2828.6428571428573,2673.0952380952381,2805.5714285714284,Q3,wednesday,weekday,9,25,not_holiday,not_after_sale
MAKATI,2019-09-24,Delivery,46,47,49,45,45,46,38,34,2757.2857142857142,1888.0,2806.8571428571427,2704.4285714285716,2835.9285714285716,Q3,tuesday,weekday,9,24,not_holiday,not_after_sale
MAKATI,2019-09-23,Delivery,47,14,30,47,52,34,25,38,2747.7142857142858,1814.0,2805.7857142857142,2726.2857142857142,2795.9642857142858,Q3,monday,weekday,9,23,not_holiday,not_after_sale
MAKATI,2019-09-22,Delivery,14,25,21,16,20,23,26,25,2828.0,2661.3333333333335,2807.7857142857142,2747.3809523809523,2825.3214285714284,Q3,sunday,weekend,9,22,not_holiday,not_after_sale
